model,bookID,title,authors,
book.book,122,The Power of One (The Power of One  #1),Bryce Courtenay,
book.book,123,The Power of One (The Power of One  #1),Bryce Courtenay,
book.book,129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,
book.book,130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,
book.book,131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,
book.book,132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,
book.book,133,eBay for Dummies,Marsha Collier,
book.book,135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,
book.book,137,Starting an eBay Business for Dummies,Marsha Collier,
book.book,138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,
book.book,139,ebay Timesaving Techniques for Dummies,Marsha Collier,
book.book,140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,
book.book,141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,
book.book,142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,
book.book,144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,
book.book,147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,
book.book,151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,
book.book,152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,
book.book,153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,
book.book,154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,
book.book,155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,
book.book,156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,
book.book,157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,
book.book,159,Dinner with Anna Karenina,Gloria Goldreich,
book.book,160,Tolstoy: Anna Karenina,Anthony Thorlby,
book.book,162,Untouchable,Mulk Raj Anand/E.M. Forster,
book.book,163,The Untouchable,John Banville,
book.book,164,The Untouchables,Eliot Ness/Oscar Fraley,
book.book,165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,
book.book,166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,
book.book,168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,
book.book,171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,
book.book,177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,
book.book,180,Wrinkles in Time,George Smoot/Keay Davidson,
book.book,181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,
book.book,182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,
book.book,201,Una arruga en el tiempo â€“ A Wrinkle in Time,Madeleine L'Engle,
book.book,204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,
book.book,205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,
book.book,207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,
book.book,208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,
book.book,213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,
book.book,214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,
book.book,216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,
book.book,230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,
book.book,231,I am Charlotte Simmons,Tom Wolfe,
book.book,237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,
book.book,244,The Puffin Book of Nonsense Verse,Quentin Blake,
book.book,245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,
book.book,247,Quiet Days in Clichy,Henry Miller,
book.book,249,Tropic of Cancer,Henry Miller/JiÅ™Ã­ NÃ­l,
book.book,250,Tropic of Capricorn,Henry Miller,
book.book,251,Nexus (The Rosy Crucifixion  #3),Henry Miller,
book.book,252,Sexus (The Rosy Crucifixion  #1),Henry Miller,
book.book,253,The Air-Conditioned Nightmare,Henry Miller,
book.book,264,The Portrait of a Lady,Henry James/Patricia Crick,
book.book,269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,
book.book,277,Writing,Marguerite Duras,
book.book,278,The War,Marguerite Duras/Barbara Bray,
book.book,280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,
book.book,285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,
book.book,288,Kahlil Gibran: His Life and World,Jean Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†/Kahlil Gibran,
book.book,289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,
book.book,290,Jesus the Son of Man,Kahlil Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†,
book.book,291,The Broken Wings,Kahlil Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†/Anthony Rizcallah Ferris,
book.book,292,Sand and Foam,Kahlil Gibran/Ø¬Ø¨Ø±Ø§Ù† Ø®Ù„ÙŠÙ„ Ø¬Ø¨Ø±Ø§Ù†,
book.book,295,Treasure Island,Robert Louis Stevenson,
book.book,296,Treasure Island,Robert Louis Stevenson/Scott McKowen,
book.book,297,Treasure Island,Robert Louis Stevenson,
book.book,298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,
book.book,299,Treasure Island,Robert Louis Stevenson/Milo Winter,
book.book,302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,
book.book,313,100 Years of Lynchings,Ralph Ginzburg,
book.book,324,Cien aÃ±os de soledad,Gabriel GarcÃ­a MÃ¡rquez,
book.book,330,On Beyond Zebra!,Dr. Seuss,
book.book,332,The Wedding Clause,Debbie Raleigh,
book.book,333,The Zebra Wall,Kevin Henkes,
book.book,337,El perfume: Historia de un asesino,Patrick SÃ¼skind,
book.book,348,The Door Into Summer,Robert A. Heinlein,
book.book,350,Stranger in a Strange Land,Robert A. Heinlein,
book.book,354,To Sail Beyond the Sunset,Robert A. Heinlein,
book.book,355,Job: A Comedy of Justice,Robert A. Heinlein,
book.book,356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,
book.book,357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,
book.book,359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,
book.book,362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,
book.book,367,Douglas Adams's Starship Titanic,Terry Jones,
book.book,377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,
book.book,382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,
book.book,385,On Bullshit,Harry G. Frankfurt,
book.book,386,Another Bullshit Night in Suck City,Nick Flynn,
book.book,394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,
book.book,397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,
book.book,399,Underworld,Don DeLillo,
book.book,400,Libra,Don DeLillo,
book.book,403,Americana,Don DeLillo,
book.book,404,Running Dog,Don DeLillo,
book.book,406,Cosmopolis,Don DeLillo,
book.book,407,Great Jones Street,Don DeLillo,
book.book,408,The Names,Don DeLillo,
book.book,409,Against the Day,Thomas Pynchon,
book.book,410,V.,Thomas Pynchon,
book.book,411,The Crying of Lot 49,Thomas Pynchon,
book.book,412,Gravity's Rainbow,Thomas Pynchon,
book.book,413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,
book.book,414,Vineland,Thomas Pynchon,
book.book,415,Gravity's Rainbow,Thomas Pynchon,
book.book,416,Slow Learner: Early Stories,Thomas Pynchon,
book.book,418,Been Down So Long It Looks Like Up To Me,Richard FariÃ±a/Thomas Pynchon,
book.book,420,The Year of Magical Thinking,Joan Didion,
book.book,421,The White Album,Joan Didion,
book.book,422,A Book of Common Prayer,Joan Didion,
book.book,423,Where I Was From,Joan Didion,
book.book,424,Slouching Towards Bethlehem,Joan Didion,
book.book,425,Democracy,Joan Didion,
book.book,426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,
book.book,428,Play It As It Lays,Joan Didion/David Thomson,
book.book,431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,
book.book,432,City of Glass (The New York Trilogy  #1),Paul Auster,
book.book,434,Ghosts (The New York Trilogy  #2),Paul Auster,
book.book,435,The Locked Room (The New York Trilogy  #3),Paul Auster,
book.book,444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,
book.book,446,The Brooklyn Follies,Paul Auster,
book.book,447,Moon Palace,Paul Auster,
book.book,453,The Music of Chance,Paul Auster,
book.book,454,Travels in the Scriptorium,Paul Auster,
book.book,456,Leviathan,Paul Auster,
book.book,463,The Red Notebook: True Stories,Paul Auster,
book.book,466,Timbuktu / Leviathan / Moon Palace,Paul Auster,
book.book,475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,
book.book,476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,
book.book,477,Collapse of Complex Societies,Joseph A. Tainter,
book.book,478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,
book.book,481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,
book.book,484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,
book.book,493,My Inventions,Nikola Tesla,
book.book,494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,
book.book,497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,
book.book,498,Tesla Papers,Nikola Tesla/David Hatcher Childress,
book.book,511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,
book.book,515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,
book.book,523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,
book.book,524,Lord of the Flies,William Golding,
book.book,531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,
book.book,534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,
book.book,537,The Lovely Bones,Alice Sebold,
book.book,538,The Lovely Bones,Alice Sebold,
book.book,539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,
book.book,565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,
book.book,570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,
book.book,576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,
book.book,597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,
book.book,599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,
book.book,619,Vice (V  #8),Jane Feather,
book.book,629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,
book.book,639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,
book.book,642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,
book.book,643,Motorcycle Basics Techbook,John Harold Haynes,
book.book,650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,
book.book,655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,
book.book,656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,
book.book,658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,
book.book,662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,
book.book,663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,
book.book,664,The Fountainhead,Ayn Rand,
book.book,665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,
book.book,667,Anthem,Ayn Rand,
book.book,668,We the Living,Ayn Rand/Leonard Peikoff,
book.book,669,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,
book.book,670,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,
book.book,672,Sailing for Dummies,J.J. Isler/Peter Isler,
book.book,675,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,
book.book,676,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,
book.book,678,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,
book.book,681,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,
book.book,685,The Natural,Bernard Malamud/Kevin Baker,
book.book,698,Digging to America,Anne Tyler,
book.book,700,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,
book.book,702,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,
book.book,703,The Plot Against America,Philip Roth,
book.book,707,Naked Pictures of Famous People,Jon   Stewart,
book.book,759,Collected Stories,Gabriel GarcÃ­a MÃ¡rquez/Gregory Rabassa/J.S. Bernstein,
book.book,762,CrÃ³nica de una muerte anunciada,Gabriel GarcÃ­a MÃ¡rquez,
book.book,763,Cien aÃ±os de soledad,Gabriel GarcÃ­a MÃ¡rquez,
book.book,764,Del amor y otros demonios,Gabriel GarcÃ­a MÃ¡rquez,
book.book,765,Living to Tell the Tale,Gabriel GarcÃ­a MÃ¡rquez/Edith Grossman,
book.book,766,Memoria de mis putas tristes,Gabriel GarcÃ­a MÃ¡rquez,
book.book,771,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,
book.book,775,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,
book.book,787,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,
book.book,793,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,
book.book,797,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,
book.book,799,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,
book.book,815,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,
book.book,816,Cryptonomicon,Neal Stephenson,
book.book,821,Le RÃ©seau Kinakuta (Cryptonomicon  #2),Neal Stephenson,
book.book,822,The Confusion (The Baroque Cycle  #2),Neal Stephenson,
book.book,823,Quicksilver (The Baroque Cycle  #1),Neal Stephenson,
book.book,824,The Cobweb,Neal Stephenson/J. Frederick George,
book.book,826,The Big U,Neal Stephenson,
book.book,827,The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson/Pedro Jorge Romero,
book.book,828,Interface,Neal Stephenson/George F. Jewsbury/Stephen  Bury,
book.book,829,Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,
book.book,830,Snow Crash,Neal Stephenson/Guy Abadia,
book.book,834,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington/Bill Robertie,
book.book,835,Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington/Bill Robertie,
book.book,840,The Design of Everyday Things,Donald A. Norman,
book.book,841,Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,
book.book,842,The Psychology of Everyday Things,Donald A. Norman,
book.book,848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,
book.book,864,The Alchemist,Paulo Coelho/Alan R. Clarke/James Noel Smith,
book.book,865,The Alchemist,Paulo Coelho/Alan R. Clarke/Ã–zdemir Ä°nce,
book.book,866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,
book.book,868,Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa/Akira Watanabe,
book.book,869,Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa/Akira Watanabe,
book.book,870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,
book.book,871,Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa/Akira Watanabe,
book.book,872,The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho/Alan R. Clarke/MÅ“bius,
book.book,873,Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa/Akira Watanabe,
book.book,880,Pompeii,Robert   Harris,
book.book,888,The Last Days of Pompeii,Edward Bulwer-Lytton/John Gregory Betancourt,
book.book,890,Of Mice and Men,John Steinbeck,
book.book,900,The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,
book.book,902,The Westing Game,Ellen Raskin,
book.book,903,The Egypt Game,Zilpha Keatley Snyder,
book.book,929,Memoirs of a Geisha,Arthur Golden,
book.book,930,Memoirs of a Geisha,Arthur Golden,
book.book,931,Memoirs of a Geisha,Arthur Golden,
book.book,932,Memoirs of a Geisha: A Portrait of the Film,David        James/Peggy Mulloy/Rob Marshall/Arthur Golden,
book.book,933,Memoirs of a Geisha,Arthur Golden,
book.book,935,Geisha of Gion,Mineko Iwasaki/Rande Brown,
book.book,941,Love As A Foreign Language #5,J. Torres/Eric  Kim,
book.book,944,Jungle Love,Margaret Johnson/Philip Prowse,
book.book,955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,
book.book,960,Angels & Demons (Robert Langdon  #1),Dan Brown,
book.book,965,Ãngeles y demonios (Robert Langdon  #1),Dan Brown,
book.book,966,Angeles & Demonios,Dan Brown/RaÃºl Amundaray,
book.book,968,The Da Vinci Code (Robert Langdon  #2),Dan Brown,
book.book,969,The Da Vinci Code,Dan Brown,
book.book,972,Da Vinci Code (Robert Langdon  #2),Dan Brown/Daniel Roche,
book.book,975,Deception Point,Dan Brown,
book.book,977,Deception Point,Dan Brown,
book.book,980,Deception Point,Dan Brown,
book.book,987,A Killing Rain (Louis Kincaid  #6),P.J. Parrish,
book.book,998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley/William D. Danko,
book.book,1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,
book.book,1007,Think and Grow Rich,Napoleon Hill,
book.book,1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),Mike   Mason,
book.book,1022,Read My Lips: Sexual Subversion and the End of Gender,Riki Anne Wilchins,
book.book,1032,Trump: The Art of the Deal,Donald J. Trump/Tony Schwartz,
book.book,1052,The Richest Man in Babylon,George S. Clason,
book.book,1053,The Richest Man in Babylon,George S. Clason,
book.book,1059,Shibumi,Trevanian/Gisela Stege,
book.book,1067,1776,David McCullough,
book.book,1068,1776,Peter  Stone/Sherman Edwards,
book.book,1073,The Crescent Obscured: The United States and the Muslim World  1776-1815,Robert J. Allison,
book.book,1078,The Good Earth (House of Earth  #1),Pearl S. Buck,
book.book,1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?,Rick Warren,
book.book,1097,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,
book.book,1099,Fast Food Nation: What The All-American Meal is Doing to the World,Eric Schlosser,
book.book,1103,Snow Flower and the Secret Fan,Lisa See,
book.book,1110,The Broker,John Grisham,
book.book,1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,
book.book,1117,The Power Broker: A Novel (Christian Gillette  #3),Stephen W. Frey,
book.book,1120,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael D'Orso,
book.book,1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,
book.book,1123,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,
book.book,1130,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,
book.book,1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,
book.book,1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,
book.book,1167,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,
book.book,1169,Monkey Business,Sarah Mlynowski,
book.book,1171,Liar's Poker,Michael   Lewis,
book.book,1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,
book.book,1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,
book.book,1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,
book.book,1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,
